X_val,Y_val
0.0542719,5.52E+06
0.0543448,5.47E+06
0.0544177,5.41E+06
0.0544906,5.36E+06
0.0545635,5.31E+06
0.0546364,5.26E+06
0.0547093,5.21E+06
0.0547822,5.16E+06
0.0548551,5.11E+06
0.054928,5.07E+06
0.0550009,5.02E+06
0.0550738,4.98E+06
0.0551467,4.94E+06
0.0552196,4.90E+06
0.0552925,4.87E+06
0.0553654,4.83E+06
0.0554383,4.79E+06
0.0555112,4.76E+06
0.0555841,4.73E+06
0.055657,4.69E+06
0.0557299,4.66E+06
0.0558028,4.64E+06
0.0558757,4.60E+06
0.0559486,4.57E+06
0.0560215,4.54E+06
0.0560944,4.51E+06
0.0561673,4.48E+06
0.0562402,4.46E+06
0.0563131,4.42E+06
0.056386,4.40E+06
0.0564589,4.37E+06
0.0565318,4.35E+06
0.0566047,4.32E+06
0.0566776,4.30E+06
0.0567505,4.27E+06
0.0568234,4.25E+06
0.0568963,4.23E+06
0.0569692,4.22E+06
0.0570421,4.19E+06
0.057115,4.18E+06
0.0571879,4.16E+06
0.0572608,4.15E+06
0.0573337,4.14E+06
0.0574066,4.12E+06
0.0574795,4.11E+06
0.0575524,4.10E+06
0.0576253,4.10E+06
0.0576982,4.09E+06
0.0577711,4.09E+06
0.057844,4.09E+06
0.0579169,4.09E+06
0.0579898,4.09E+06
0.0580627,4.08E+06
0.0581356,4.09E+06
0.0582085,4.11E+06
0.0582814,4.09E+06
0.0583543,4.06E+06
0.0584272,4.01E+06
0.0585001,4.79E+06
0.058573,5.56E+06
0.0586873,468916
0.0588015,439450
0.0589158,393354
0.0590301,367907
0.0591444,350941
0.0592586,337506
0.0593729,326922
0.0594872,318677
0.0596014,312275
0.0597157,307332
0.05983,303567
0.0599442,300856
0.0600585,298881
0.0601728,297781
0.0602871,297502
0.0604013,297988
0.0605156,299177
0.0606299,300985
0.0607441,303266
0.0608584,306130
0.0609727,309524
0.0610869,313560
0.0612012,317911
0.0613155,322544
0.0614298,327159
0.061544,331820
0.0616583,336495
0.0617726,341147
0.0618868,345740
0.0620011,350228
0.0621154,354580
0.0622296,358776
0.0623439,362798
0.0624582,366633
0.0625724,370275
0.0626867,373721
0.062801,376968
0.0629153,380018
0.0630295,382871
0.0631438,385531
0.0632581,388002
0.0633723,390289
0.0634866,392397
0.0636009,394332
0.0637152,396095
0.0638294,397693
0.0639437,399136
0.064058,400430
0.0641722,401581
0.0642865,402595
0.0644008,403480
0.064515,404243
0.0646293,404889
0.0647436,405426
0.0648578,405861
0.0649721,406200
0.0650864,406451
0.0652007,406621
0.0653149,406719
0.0654292,406752
0.0655435,406728
0.0656577,406651
0.065772,406530
0.0658863,406372
0.0660006,406185
0.0661148,405975
0.0662291,405747
0.0663434,405507
0.0664576,405258
0.0665719,405006
0.0666862,404757
0.0668004,404513
0.0669147,404276
0.067029,404047
0.0671432,403828
0.0672575,403621
0.0673718,403427
0.0674861,403246
0.0676003,403079
0.0677146,402928
0.0678289,402793
0.0679431,402675
0.0680574,402573
0.0681717,402487
0.0682859,402418
0.0684002,402364
0.0685145,402325
0.0686288,402300
0.068743,402290
0.0688573,402294
0.0689716,402310
0.0690858,402338
0.0692001,402375
0.0693144,402421
0.0694287,402476
0.0695429,402541
0.0696572,402610
0.0697715,402658
0.0698857,402744
0.07,402822
